Label +Observations/Total Weight
AU02 5044/306888 59.842
AU26 9407/306888 31.623
AU09 14/306888 21919.571
Unilateral_LAU12 9164/306888 32.488
AU18 2890/306888 105.190
AU04 4147/306888 73.002
AU05 4452/306888 67.933
AU15 819/306888 373.711
AU14 19829/306888 14.477
AU17 13581/306888 21.597
Unilateral_RAU12 5576/306888 54.037
AU10 25/306888 12274.520
negAU12 28/306888 10959.286
Unilateral_LAU14 4551/306888 66.433
Unilateral_RAU14 2652/306888 114.719
AU57 2716/306888 111.993
Smile 171970/306888 0.785
AU58 18002/306888 16.047
Expressive 271091/306888 0.132
